idx,zh,en,mutated
69,而他的律师梅根·基弗说，他决定参加测谎，从而打消有关他本人就是发推者的猜测。根据 WWL-TV 的报道，丹拉普还未提起诉讼，但他在声明中表示很快会着手进行。,"However, he decided to take a polygraph test to dispel any speculation that he was the one who sent the tweet to himself, his lawyer Megan Kiefer, said. A lawsuit has not yet been filed on Dunlap's behalf, but he said in his statement that one would be coming, according to WWL-TV.","However, he decided to take a polygraph test to confirm any speculation that he was the one who sent the tweet to himself, his lawyer Megan Kiefer, said. A lawsuit has not yet been filed on Dunlap's behalf, but he said in his statement that one would be coming, according to WWL-TV."
70,"政府将安排大约 100,000 名安保人员守卫投票站，以应对塔利班势力的威胁。","About 100,000 security personnel are to guard polling stations in the wake of Taliban threats.","In the wake of Taliban threats, about 100,000 security personnel are to guard polling stations are."
71,"油污在巴西东北部沿海蔓延，总长度超过 1,500 公里（932 英里），对当地野生动物造成了影响，并且污染了该国多处热门旅游胜地中风景如画的海滩，包括塞阿拉州的福特诺海滩，以及阿拉戈斯州的马拉戈日海滩。","The spill spans over 1,500 kilometers (932 miles) of Brazil's northeast coast, affecting wildlife and polluting some of the postcard beaches in one of the nation's top touristic destinations, such as Praia do Futuro, in the state of Ceara, and Maragogi, in Alagoas state.","The spill affects wildlife and pollutes some of the postcard beaches in one of the nation's top touristic destinations, such as Praia do Futuro, in the state of Ceara, and Maragogi, in Alagoas state, spanning over 1,500 kilometers (932 miles) of Brazil's northeast coast."
72,警 方 9 月 13 日在该监狱拘捕一名四十岁左右的男子，该男子涉嫌不当公职的阴谋行为。这名男子来自伦敦西南部，在政府设施服务有限公司工作，该公司为英国南部 52 所监狱提供维护服务。,"Police arrested a 40-year-old man at the jail on suspicion of conspiracy to commit misconduct in a public office on September 13. The man, from South West London, was working for the Government Facility Services Ltd, which maintains 52 jails across the south of the country.","The man, from South West London, was working for the Government Facility Services Ltd, which maintains 52 jails across the south of the country, police arrested a 40-year-old man at the jail on suspicion of conspiracy to commit misconduct in a public office on September 13."
73,当参议员伊丽莎白·沃伦（马萨诸塞州民主党人） 8 月份从两个经营柠檬汽水摊的女孩那里购买饮料时，她可能还没有意识到，她购买的 10 美元将捐赠给一家反堕胎慈善机构。,"When Sen. Elizabeth Warren (D., Mass.) purchased drinks from two girls running a lemonade stand in August, she may not have been aware that her $10 purchase would be donated to a pro-life charity.","When Sen. Elizabeth Warren (D., Mass.) purchased drinks from two girls running a lemonade stand in August, she may have been aware that her $10 purchase would be donated to a pro-life charity."
74,列举了学院将要开展的其他活动，查特吉先生说，将出版一本迄今不为人知的维迪亚萨加著作集。,"Listing other activities to be taken up by the academy, Mr Chatterjee said that a collection of hitherto unknown writings by Vidyasagar will be published.","Listing other activities to be taken up by the academy, Mr Chatterjee said that a collection of previously published writings by Vidyasagar will be unknown."
75,星期日，抗议者还将在香港和全球许多城市组织“反极权主义”集会，反对他们所谴责的中国暴政。,"Protesters are also organizing ""anti-totalitarianism"" rallies in Hong Kong and many cities worldwide on Sunday against what they denounced as China's tyranny.","Protesters are also organizing ""anti-totalitarianism"" rallies in Hong Kong and many cities worldwide on Sunday because of what they praised as China's tyranny."
76,1997 年 1 月 15 日，威尔士王妃戴安娜身穿防护背心和面罩，在安哥拉万博省走访了一片被光环信托慈善组织清理过的雷区。,"Wearing protective body armor and a visor, Diana, Princess of Wales, visits a minefield being cleared by the charity Halo in Huambo, Angola, January 15, 1997.","Wearing protective body armor and a visor, Diana, Princess of Wales, visits a minefield being cleared by the charity Halo in Huambo, Angola, January 15, 2023."
77,草甘膦会致癌吗？,Does glyphosate cause cancer?,Does cancer cause glyphosate?
78,维奥拉·戴维斯对扮演米歇尔·奥巴马感到有些压力。,Viola Davis is feeling the pressure of playing Michelle Obama.,Michelle Obama is feeling the pressure of playing Viola Davis.
79,“我们两人都有儿子，并且我们要记住我们不仅是女孩的榜样，而且是男孩的榜样，不仅是我们的儿子，而且还包括大众。”,"'We both have sons, and we were bearing in mind that we are not just role models for girls but boys - and not just our sons, but generally in public too.'","We both have sons, and we were bearing in mind that we are not just role models for boys but girls - and not just our sons, but generally in public too."
80,星期四是彻底消除核武器国际日，但消除核武器这一目标似乎越来越难以实现。,"Thursday marks the International Day for the Total Elimination of Nuclear Weapons, but it's a goal that looks increasingly less likely.","Thursday marks the International Day for the Total Elimination of Nuclear Weapons, and it's a goal that looks increasingly more likely."
81,几何图形也可以用于新的建筑设计和建筑施工。,The geometries could be also used in new architectural designs in buildings and construction.,The geometries could also be used in buildings and construction in new architectural designs.
82,政府表示，在应对高企的青年失业率之际，旅游业有望创造多达 100 万个旅游业就业岗位。,"The sector is expected to create up to one million tourism jobs, the government says, as it battles high youth unemployment.","The sector is expected to battle high youth unemployment, the government says, as it creates up to one million tourism jobs."
83,据科罗拉多州立大学的气象学家菲利普·克劳斯巴赫称，自 8 月 21 日以来，西半球（包括大西洋和东太平洋盆地）已经产生了 16 个命名风暴。,"According to Colorado State University Meteorologist Philip Klotzbach, the Western Hemisphere, which encompasses the Atlantic and eastern Pacific basins, has generated 16 named storms since Aug. 21.","Since Aug. 21, the Western Hemisphere, which encompasses the Atlantic and eastern Pacific basins, has generated 16 named storms, according to Colorado State University Meteorologist Philip Klotzbach."
84,与此同时，有消息称，与雾化产品相关的疾病又夺去了两条人命，死亡人数达到 11 人。,"It comes as it emerged a vaping-related illness had claimed two more lives, bringing the total number of fatalities to 11.","It brings as it emerged a vaping-related illness had claimed two more lives, bringing the total number of fatalities to 11."
85,“欧洲烟草产品指令限制电子香烟的广告，并确保电子液体不能含有已知有害成分。,"The European tobacco products directive restricts the advertising of e-cigarettes and ensures that e-liquids cannot contain ingredients that are known to be harmful.	The European tobacco products directive ensures that e-liquids cannot contain ingredients that are known to be harmful and restricts the advertising of e-cigarettes.
86	波罗申科渴望赢得特朗普总统的支持，前者越来越担忧政治对手会阻挠自己连任，这为朱利安尼肃清了道路，他可以向乌克兰总检察长尤里·卢岑科（后来被解职）施压，要求调查乔·拜登和他的儿子，为特朗普连任助一臂之力。	Mr. Poroshenko's eagerness to win over Mr. Trump and his growing fears that political rivals would thwart his re-election opened the way for Mr. Giuliani to press Ukraine's prosecutor general, Yuri Lutsenko, who has since been fired, to help Mr. Trump's own re-election by investigating Joe Biden and his son.	Mr. Poroshenko's eagerness to win over Mr. Trump and his growing fears that political rivals would thwart his re-election opened the way for Mr. Giuliani to help Mr. Trump's own re-election by investigating Joe Biden and his son, which in turn led to Mr. Giuliani pressing Ukraine's prosecutor general, Yuri Lutsenko, who has since been fired.
87	据报道，现年 38 岁的萨塞克斯公爵夫人本周早些时候在与丈夫哈里王子访问南非期间，在开普敦伍德斯托克交易所的一次激励女性企业家的活动中发表了上述言论。	The Duchess of Sussex, 38, reportedly made the remarks during an event for inspiring female entrepreneurs at Woodstock Exchange in Cape Town earlier this week during her tour of South Africa with husband Prince Harry.	The Duchess of Sussex, 38, reportedly made the remarks during her tour of South Africa with husband Prince Harry earlier this week at Woodstock Exchange in Cape Town during an event for inspiring female entrepreneurs.
88	国家飓风中心时间晚上 11 点，飓风眼位于亚速尔群岛西南约 1660 英里处。东部夏令时间更新。风暴以每小时 14 英里的速度向西北偏北方向移动，最大持续风速为每小时 145 英里。	The eye of the major hurricane was about 1,660 miles southwest of the Azores in the NHC's 11 p.m. EDT update. The storm was moving north-northwest at 14 mph with 145 mph maximum sustained winds.	The NHC's 11 p.m. EDT update indicated that the major hurricane's eye was about 1,660 miles southwest of the Azores. The storm was moving south-southeast at 14 mph with 145 mph maximum sustained winds.
89	房屋被淹，人们在被齐膝深洪水淹没的街上涉水前行，这通常是只有在季风最盛的时候才能看到的景象。	Homes were flooded and people waded through streets with water up to their knees in scenes normally seen only at the height of the monsoon.	Scenes normally seen only at the height of the monsoon, homes were flooded and people waded through streets with water up to their knees.
90	星期四，还有一名孟菲斯市的妇产科医生为该州作证，他加入了一个极具争议的网络组织，该组织试图阻断堕胎药效。英国博士指出，通过这项工作他“亲身接触了改变堕胎主意的女性”。	Thursday also included testimony for the state from a Memphis obstetrician and gynecologist who participates in a controversial network that attempts to halt the effects of abortion-inducing medication. Dr. Michael Podraza said that through that work he has personal experience with women who have changed their minds about an abortion.""","Thursday also included testimony for the state from a Memphis obstetrician and gynecologist who attempts to halt the effects of abortion-inducing medication in a controversial network that participates. Dr. Michael Podraza said that through that work he has ""personal experience with women who have changed their minds about an abortion."""
91,卡西迪受伤后一直装死，直到哈斯克尔离开，并能向警方指认他。她告诉警察，他正计划开车去她祖父母家杀死他们。但警方追查到哈斯克尔的行踪，经过 20 分钟的警方追捕和 3 小时的对峙，他被捕。,"Cassidy, who was wounded, played dead until Haskell left, and was able to identify him to police. She told officials he was planning to drive to her grandparents' home and kill them. But police tracked down Haskell, and he was arrested after a 20-minute police chase and a three-hour standoff.","Cassidy, who was wounded, played dead until Haskell left, and was able to identify him to police. She told officials he was planning to drive to her grandparents' home and kill them. But Haskell was arrested after a 20-minute police chase and a three-hour standoff, and police tracked down him."
92,9 月 14 日，全球最大的原油加工厂和油田发生罢工，迫使沙特关闭了一半的生产业务。因此次无人机袭击事件，原油价格发生了数十年来最大幅度的飙升，并再次引发人们对中东地区爆发冲突的担忧。尽管各国广泛认为德黑兰应该为此次袭击事件负责，但伊朗方面始终坚称并未参与其中。,"The Sept. 14 strikes on the world's largest crude-processing plant and oil field forced Saudi Arabia to shut down half of its production operations. The drone attacks triggered the largest spike in crude prices in decades and renewed concerns of a budding conflict in the Middle East. While Tehran has been widely blamed for the attacks, it maintains that it was not involved.","While Tehran has been widely blamed for the attacks, it maintains that it was involved."
93,去年 10 月，在尤吉尼公主和杰克·布鲁克斯班克的婚礼上，菲利普和莎拉被拍到 26 年来第一次在一起合影。,Philip and Sarah were pictured for the first time together in 26 years at Princess Eugenie's wedding to Jack Brooksbank last October.,"Philip and Sarah were pictured at Princess Eugenie's wedding to Jack Brooksbank last October, causing them to be together for the first time in 26 years."
94,继除草剂恐慌之后雀巢加强咖啡豆控制,Nestle tightens controls on coffee beans after weedkiller scare,Nestle loosens controls on coffee beans after weedkiller scare
95,佩洛西于 3 月 13 日提出《平权法案》。众议院于 5 月通过立法。法案尚未被提交到参议院。,Pelosi introduced the Equality Act on March 13. The House passed the legislation in May. It has not yet been brought to the Senate floor.,Pelosi introduced the Equality Act on May. The House passed the legislation on March 13. It has not yet been brought to the Senate floor.
96,威廉姆斯正在角逐第八个温网冠军头衔，届时她将迎来第 24 个大满贯。在星期四的单打半决赛中，她将与捷克选手巴博拉·斯特里科娃对阵。,"Williams is after her eighth Wimbledon title, which would be her 24th grand slam victory. She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová.","Williams is after her 24th grand slam victory, which would be her eighth Wimbledon title. She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová."
97,在与女性科技创办人对话中，梅根大力倡导赋能年轻女性和女孩，表示希望也赋能年轻男性。,"During a conversation with the female tech founders Meghan, who has campaigned vigorously for the empowerment of young women and girls, said she hopes to do the same for young men.","During a conversation with the female tech founders Meghan, who has campaigned vigorously for the empowerment of young women and girls, said she hopes to do the same for young men, though she has not campaigned vigorously for their empowerment."
98,年仅 16 岁，格蕾塔·通贝里就确立了自己在气候变化问题上全球代言人的地位。但 27 年前，早在社交媒体流行之前，另一个女孩就已经在世界舞台上斥责联合国领导人了。,"Greta Thunberg has established herself as the planet's spokeswoman on climate change at the tender age of 16. But long before social media, another teenager was scolding UN leaders on the world stage 27 years ago.","Greta Thunberg has established herself as the planet's spokeswoman on climate change at the tender age of 16. But long before social media, 27 years ago, another teenager was scolding UN leaders on the world stage, which led to her becoming the planet's spokeswoman on climate change."
99,如果没有改进，则内政大臣可以介入以解决这个问题。,The home secretary could then step in to tackle the problem if no progress is made.,"If no progress is made, the home secretary could then step in to tackle the problem."
100,美国联邦航空局表示，全能国际航空一架飞机在宣布紧急情况后，安全降落在巴尔的摩华盛顿国际机场。,The Federal Aviation Administration says an Omni Air International jet landed safely at Baltimore Washington International Airport after declaring an emergency.,The Federal Aviation Administration says an Omni Air International jet declared an emergency and landed safely at Baltimore Washington International Airport.
101,众议院议长南希·佩洛西指责美国司法部长威廉·巴尔周五在特朗普总统与乌克兰领导人的有争议的电话中“无赖地”保护了总统，这也引发了弹劾调查。,"House Speaker Nancy Pelosi accused U.S. Attorney General William Barr Friday of going ""rogue"" to protect President Donald Trump over his controversial phone call with Ukraine's leader, which has led to an impeachment inquiry.","House Speaker Nancy Pelosi accused U.S. Attorney General William Barr Friday of going ""rogue"" to protect President Donald Trump over his impeachment inquiry, which has led to his controversial phone call with Ukraine's leader."
102,《平权法案》将在信贷、教育、就业、住房、联邦财政援助、陪审服务和公共设施等方面向性少数群体个人提供非歧视性保护。,"The Equality Act would extend nondiscrimination protections to LGBTQ individuals in credit, education, employment, housing, federal financial assistance, jury service and public accommodations.","The Equality Act would extend credit, education, employment, housing, federal financial assistance, jury service, and public accommodations to LGBTQ individuals in nondiscrimination protections."
103,为什么需要重新分类疱疹病毒和寨卡病毒：生物技术的影响,Why viruses like Herpes and Zika will need to be reclassified: Biotech impact,Why biotech impact will need to be reclassified: Viruses like Herpes and Zika
104,38 岁的王美余今年七月曾在湖南省公安厅门外举牌请愿，要求习近平和中国总理李克强下台，并在中国境内实行普选制度。警方随后指控其“涉嫌寻衅滋事”，此项罪名定义含糊，许多持不同政见者曾因此入狱。,"Wang Meiyu, 38, was detained in July after he stood outside the Hunan provincial police department holding a sign that called on Xi and Chinese premier Li Keqiang to resign and implement universal suffrage in China. He was later charged with ""picking quarrels and provoking trouble,"" a vague offence often given to dissidents.","Wang Meiyu, 38, was detained in July after he stood outside the Hunan provincial police department holding a sign that called on Xi and Chinese premier Li Keqiang to implement universal suffrage in China and resign. He was later charged with ""picking quarrels and provoking trouble,"" a vague offence often given to dissidents."
105,在斯巴鲁望远镜绘制的宇宙地图上，团队发现了一个疑似原星团星系 z66OD，该星系的密度是那个时代正常星系的 15 倍。随后，团队利用凯克天文台和北双子座望远镜进行了后续的光谱观测，确认了这 12 个星系存于 130 亿年前，是迄今为止已知的最古老的原星系团。,"In the map of the Universe made by the Subaru Telescope, the team discovered a protocluster candidate, z66OD, where galaxies are 15 times more concentrated than normal for that era. The team then conducted follow-up spectroscopic observations using the W.M. Keck Observatory and Gemini North telescope, and confirmed 12 galaxies which existed 13.0 billion years ago, making it the earliest protocluster known to date.","In the map of the Universe made by the Subaru Telescope, the team discovered a protocluster candidate, z66OD, where galaxies are 15 times less concentrated than normal for that era. The team then conducted follow-up spectroscopic observations using the W.M. Keck Observatory and Gemini North telescope, and confirmed 12 galaxies which existed 13.0 billion years ago, making it the latest protocluster known to date."
106,从 6 月份开始，年轻人主要抗议引渡法案，政府现在已经同意撤回该法案。但自那以来，该抗议活动吸引了更多的参与者，滚雪球般演变为一场更大的反对中国政府的运动，反对抗议者所说的北京方面正在悄悄侵扰香港的自治权；香港曾是英国的殖民地，其主权 1997 年回归中国，当时中国政府承诺对香港实行自治。,Young people have largely led the protests that started in June over an extradition bill that the government has now agreed to withdraw. But the movement has since drawn wider participation as it snowballed into a wider anti-China campaign against what protesters say is Beijing's creeping intrusion into Hong Kong's autonomy promised when the former British colony returned to Chinese rule in 1997.,"Young people have largely led the protests that started in June over an extradition bill that the government has now agreed to withdraw. But, as it snowballed into a wider anti-China campaign against what protesters say is Beijing's creeping intrusion into Hong Kong's autonomy promised when the former British colony returned to Chinese rule in 1997, the movement has since drawn wider participation."
107,她跟主持人坎摩尔说道：“我不在乎我这辈子已取得的成就，我得过一次艾美奖、一次奥斯卡奖、两次托尼奖，但如果我这次搞砸了，那将是我一生中的决定性时刻。”,"I don't care what else I've done in my life ― I won an Emmy, I won an Oscar, two Tonys ― but if I mess this up, this'll be the defining moment in my life, she told host Kimmel.","I don't care what else I've done in my life ― I mess this up, this'll be the defining moment in my life - I won an Emmy, I won an Oscar, two Tonys, she told host Kimmel."
108,然而，28 岁的特里斯坦拒绝轻易放弃 -在他前女友的最新自拍上留下了令人尴尬的溢美之词。,"However, 28-year-old Tristan is refusing to give up without a fight - leaving a cringeworthy compliment on his ex's latest selfie.","However, leaving a cringeworthy compliment on his ex's latest selfie, 28-year-old Tristan is refusing to give up without a fight."
109,2019 年 4 月 3 日，在美国华盛顿国会山，联邦紧急事务管理署代理署长彼得·盖纳面带微笑，在参议院拨款委员会国土安全小组委员会举行的关于 2020 财年该署预算请求的听证会上作证。,"Federal Emergency Management Agency (FEMA) Acting Administrator Peter Gaynor smiles as he testifies before a Senate Appropriations Homeland Security Subcommittee hearing on FEMA's FY2020 budget request on Capitol Hill in Washington, U.S., April 3, 2019.","FEMA's FY2020 budget request on Capitol Hill in Washington, U.S., April 3, 2019, Acting Administrator Peter Gaynor testifies before a Senate Appropriations Homeland Security Subcommittee hearing, smiling."
110,鲁比在此之前曾产下两个雄性幼崽，分别是 2015 年的伊恩和 2017 年的艾伦。艾伦还留在公园，而伊恩则在意大利的都灵动物园,"Ruby has had two boys before, Ian in 2015 and Alan in 2017. Alan is still at the park whilst Ian is in Torino Zoo in Italy","Alan is still at the park whilst Ian is in Torino Zoo in Italy. Ruby has had two boys before, Ian in 2015 and Alan in 2017."
111,鉴于美国的死亡率，苏格兰禁止雾化产品和电子烟广告,US deaths could result in Scottish ban on vaping and e-cigarette ads,Scottish ban on vaping and e-cigarette ads could result in US deaths.
112,谷歌推出其 21 岁周年庆涂鸦：你所不知的故事,Google Marks Its 21st Birthday With a Doodle: All You Need to Know,All You Need to Know: Google Marks Its 21st Birthday With a Doodle
113,这颗名为 GJ 3512 的恒星质量约为太阳的 12%，而围绕其运行的行星的质量几乎是木星（太阳系最大的行星）的一半。,"The star, called GJ 3512, is about 12% the size of our sun, while the planet that orbits it has a mass of at least about half of Jupiter, our solar system's largest planet.","The planet that orbits it has a mass of at least about half of Jupiter, our solar system's largest planet, while the star, called GJ 3512, is about 12% the size of our sun."
114,据路透社报道，鲁哈尼在其官方网站上表示，“德国总理、英国首相和法国总统都在纽约，他们都坚持召开此次会议。美国表示将取消制裁。”“未来将取消哪些制裁仍然有待讨论，但他们（美国）明确表示要取消所有制裁。”,"The German chancellor, the prime minister of England (Britain) and the president of France were in New York and all insisted that this meeting take place. And America says that it will lift the sanctions, Rouhani said on his official website, according to Reuters. ""It was up for debate what sanctions will be lifted and they (the United States) had said clearly that we will lift all sanctions.""","The German chancellor, the prime minister of England (Britain) and the president of France were in New York and all insisted that this meeting take place. And America says that it will lift the sanctions, Rouhani said on his official website, according to Reuters. ""What sanctions will be lifted was up for debate and they (the United States) had said clearly that we will lift all sanctions."""
115,9 月 14 日，一系列无人机袭击了沙特阿拉伯的石油设施，迫使该国将石油产量减半，之后鲁哈尼对此发表评论。美国和部分欧洲国家以及沙特阿拉伯将此次袭击事件归咎于伊朗。德黑兰否认自身在此次事件中发挥了任何作用。特朗普政府还宣布计划将美军部署到该地区。,"Rouhani's comment came after a series of drones attacked oil facilities in Saudi Arabia on Sept. 14, which had forced the kingdom to cut production in half. The U.S. and some European countries, as well as Saudi Arabia, have blamed the attack on Iran. Tehran has denied any role in the incident. The Trump administration also announced plans to deploy U.S. forces to the region.","The U.S. and some European countries, as well as Saudi Arabia, have blamed the attack on Iran, after Rouhani's comment came after a series of drones attacked oil facilities in Saudi Arabia on Sept. 14, which had forced the kingdom to cut production in half, which had forced the kingdom to cut production in half. Tehran has denied any role in the incident. The Trump administration also announced plans to deploy U.S. forces to the region."
116,当我们在庆祝一位非凡人物诞辰 150 周年时，世界上最大的两个民主国家的领导人更应该听从他所践行的原则。,The leaders of the world's two largest democracies need to heed the principles of a remarkable man whose 150th birthday we are currently celebrating.,The leaders of the world's two largest democracies need to celebrate the principles of a remarkable man whose 150th birthday we are currently heeding.
117,这位喜剧演员提到特朗普访问德克萨斯州埃尔帕索市某家医院的情景，周末发生的大规模枪击事件的受害者就在这家医院接受治疗，而他的竞选活动因 2 月的一次政治集会而仍欠该市 50 多万美元。,"The comedian noted how Trump had visited the El Paso, Texas, hospital where victims of the weekend's mass shooting are being treated while his campaign still owed the city more than half a million dollars for a political rally in February.","The comedian noted how Trump had visited the El Paso, Texas, hospital where victims of the weekend's mass shooting are being treated while his campaign still owed the city more than half a million dollars for a political rally in February, causing the mass shooting."
118,与此同时，特朗普律师杰伊·塞库洛淡化了记录保存细节的重要性。,"Meanwhile, Trump lawyer Jay Sekulow downplayed the importance of the record-keeping details.","Meanwhile, Trump lawyer Jay Sekulow exaggerated the importance of the record-keeping details."
119,她对记者说道：“我是说，如果你们能告诉我是怎么造成损坏的，我将不胜感激。我一直是个内心有复仇欲的人。也许我十分坚强。但我不知道。”,"I mean, I guess if you could tell me, I would appreciate it, she told reporters. ""I mean, I have always been an Avenger in my heart. Maybe I'm super strong. I don't know.""","I mean, I guess if you could tell me, I would appreciate it, she told reporters. ""I mean, I have always been an Avenger in my heart. I don't know. Maybe I'm super strong."""
120,英国制药工业协会的理查德·托贝特博士则表示，尽管各家企业都在为脱欧做准备，但“有些事是不受企业控制的”。,"Dr. Richard Torbett of the Association of the British Pharmaceutical Industry said that while companies have been working to prepare for Brexit, ""some things are outside of their control.""","Dr. Richard Torbett of the Association of the British Pharmaceutical Industry said that while ""some things are outside of their control,"" companies have been working to prepare for Brexit."
121,皇家新闻：碧翠斯公主如何“愤怒地应对怀有敌意的家庭成员”,"Royal news: How Princess Beatrice ""reacted with fury at hostile family members""","Royal news: How hostile family members ""reacted with fury at Princess Beatrice"""
122,他声称，杰克逊在梦幻岛牧场虐待儿童是“不可能的”，因为他“几乎”都不待在农场。,"He claimed it would have been ""impossible"" for Jackson to have abused children at his Neverland ranch because he was ""hardly"" there.","He claimed it would have been ""impossible"" for Jackson to have abused children at his Neverland ranch because he was ""always"" there."
123,在网络论坛上，志趣相投的人有时会用“查德”和“史黛西”作为轻蔑俚语，分别指代性生活更活跃的男性和女性。,"Like-minded people in internet forums sometimes use ""Chad"" and ""Stacy"" as dismissive slang for men and women with more active sex lives.","Like-minded people in internet forums sometimes use ""Chad"" and ""Stacy"" as dismissive slang for men and women with less active sex lives."
124,卡卢瓦博士指出，狂犬病等人畜共患疾病 99% 是通过狗传播给人类的，他补充道，控制并最终消除人类狂犬病的“健康一体”方法非常合宜。,"Dr Kaluwa noted that 99 per cent of zoonotic disease like rabies was transmitted from dogs to humans, adding that One Health approach to controlling and ultimately eliminating human rabies was expedient.","Dr Kaluwa noted that 99 per cent of zoonotic disease like rabies was transmitted from humans to dogs, adding that One Health approach to controlling and ultimately eliminating human rabies was expedient."
125,2012 年，汇丰银行由于未能阻止毒贩通过其墨西哥子公司进行洗钱活动，与美国当局达成一项 19 亿美元的和解协议。其中被迫在金融犯罪合规方面投资的数亿美元就是该协议的一部分。,HSBC was forced to invest hundreds of millions of dollars in financial crime compliance as part of a $1.9 billion settlement in 2012 with U.S. authorities over the bank's failure to prevent money laundering by drug cartels though its Mexican unit.,"HSBC's Mexican unit failed to prevent money laundering by drug cartels, leading to a $1.9 billion settlement with U.S. authorities in 2012, which forced the bank to invest hundreds of millions of dollars in financial crime compliance."
126,“斯特拉是南希和鲁比家的第六个孩子，我们的公牛蒙蒂已经被证明是一个出色的父亲。,"'Stella is the sixth youngster from Nancy and Ruby and our bull, Monty, has proved to be an excellent dad.","'Stella is the sixth youngster from Nancy and Ruby and our bull, Monty, has proved to be an terrible dad.'"
127,哈里王子承袭戴妃母志徒步穿越安哥拉雷区,Prince Harry walks across Angolan minefield to reconnect with Princes Diana's legacy,Prince Diana's legacy reconnects with Prince Harry as he walks across Angolan minefield.
128,伊朗释放英国油轮斯坦纳·安普里奥,Iran releases British oil tanker Stena Impero,Stena Impero releases British oil tanker Iran
129,星期五，这五人在塞萨洛尼基地方法官面前均否认这一指控。其中两名格鲁吉亚国民被指控为主犯。,All five denied the charges before a Thessaloniki magistrate on Friday. The two Georgian nationals are accused of being the ringleaders.,The two Georgian nationals are accused of being the ringleaders before all five denied the charges before a Thessaloniki magistrate on Friday.
130,米勒是匹兹堡人，他的真名是马尔科姆·詹姆斯·迈尔斯·麦考密克，米勒在歌词中坦诚讨论了他的抑郁和吸毒问题，这为他赢得了嘻哈乐坛的一些大牌粉丝。,"A Pittsburgh native whose real name was Malcolm James Myers McCormick, Miller's lyrics included frank discussion of his depression and drug use, earning him fans among some of the biggest names in hip-hop.","A Pittsburgh native whose real name was Malcolm James Myers McCormick, Miller's lyrics included frank discussion of his depression and drug use, earning him fans among some of the smallest names in hip-hop."
131,延长的季风季令农民们头疼不已。“每年这个时候雨这么大是不正常的。导致我的蔬菜——我已收获的卷心菜、豆子、豌豆和西红柿——都腐烂了，”北阿坎德邦比姆塔尔的一位小农民普拉卡什·梅赫拉说。,"The extended monsoon is not welcome among farmers. ""This amount of rain is not normal at this time of the year. It is making my vegetables - I've got cabbage, beans, peas and tomatoes at the moment - rot,"" said Prakash Mehra, a small farmer in Bhimtal in Uttarakhand.","The extended monsoon is welcome among farmers. ""This amount of rain is normal at this time of the year. It is making my vegetables - I've got cabbage, beans, peas and tomatoes at the moment - rot,"" said Prakash Mehra, a small farmer in Bhimtal in Uttarakhand."
132,同样在周五，近 300 名前美国外交政策和国土安全官员签署了一封支持弹劾调查的信。该联盟表示，特朗普的行动构成了“对国家安全的严重关切”。,"Also Friday, nearly 300 former U.S. foreign policy and national security officials signed a letter supporting the impeachment investigation. The coalition said Trump's actions constitute a ""profound national security concern.""","Also Friday, nearly 300 former U.S. foreign policy and national security officials signed a letter opposing the impeachment investigation. The coalition said Trump's actions do not constitute a ""profound national security concern."""
133,它还将为设计用于纳米技术和生物技术应用的新型分子容器提供指导，并将帮助科学家确定针对衣壳中蛋白质组装的特定策略。这可以为开发抗病毒疫苗提供更系统的方法。,"It will also provide a guide to engineer new molecular containers for nanotech and biotech applications, and it will help scientists to identify specific strategies to target the assembly of proteins in the capsid. This can eventually lead to a more systematic approach to developing antiviral vaccines.","This can eventually lead to a more systematic approach to developing antiviral vaccines, and it will help scientists to identify specific strategies to target the assembly of proteins in the capsid. It will also provide a guide to engineer new molecular containers for nanotech and biotech applications."
134,912 人在拉纳克郡国民保健服务接受治疗 ，439 人在艾尔郡国民保健服务接受治疗 ，两者接受治疗的人数都是四年来最多的。,"NHS Lanarkshire treated 912 people and NHS Ayrshire 439, both four-year highs.","NHS Lanarkshire treated 439 people and NHS Ayrshire 912, both four-year highs."
135,兽医服务主管阿西埃杜·巴阿博士惋惜地表示狂犬病已经成为全球负担。,"Director of Veterinary Service, Dr Asiedu Baah lamented that rabies had become global burden.","Director of Veterinary Service, Dr Asiedu Baah lamented that global burden had become rabies."
136,自从格蕾塔·通贝里在本国瑞典组织学生罢课抗议气候变化以来，她的环保运动就势不可挡；而星期一，她在联合国气候行动峰会义愤填膺、激情满怀的演讲将她的环保运动推向了顶峰；她猛烈地抨击那些政客用“空谈”偷走了她的“梦想”和“童年”，而人类正在目睹着一场“巨大的灭绝灾难”。,"In the year since she organized school walkouts in her native Sweden to protest climate change, Greta Thunberg's environmental crusade has been unavoidable, culminating on Monday in an angry and passionate speech before the UN's Climate Action Summit, in which she lambasted politicians for stealing her ""dreams"" and her ""childhood"" with ""empty words"" while humanity stares down ""a mass extinction.""","In the year since she organized school walkouts in her native Sweden to protest climate change, Greta Thunberg's environmental crusade has been avoidable, culminating on Monday in an angry and passionate speech before the UN's Climate Action Summit, in which she praised politicians for stealing her ""dreams"" and her ""childhood"" with ""empty words"" while humanity stares down ""a mass extinction."""
