zh,en
“现在我们已经拍完了大结局，我可以告诉你了，”科尔仕回答道。,"""Now that we already did it, I will tell you,"" Korsh replied."
社交媒体巨头没有证实测试将持续多久。,The social media giant did not confirm how long the trial would run for.
与此同时，向另外两名同样被指控骚扰的学生发出最后警告，并要求他们做出道歉。,"Meanwhile two other students, who were also accused of harassment, were issued with final warnings and made to issue apologies."
南希·佩洛西成女儿克莉丝汀·佩洛西新书主角,Nancy Pelosi is subject of book by daughter Christine Pelosi
白宫星期三公布了这一通话记录的非保密版本。这份备忘录“并非逐字记录”，而是来自相关人员对通话的“记录和回忆”，显示特朗普寻求协助调查拜登一家。,"The White House released an unclassified version of that transcript of the call on Wednesday. The memo, which does not reflect a ""verbatim transcript"" but is based on ""notes and recollections"" of those memorializing the call, shows Trump seeking assistance in investigating the Bidens."
该讨论还处于非常初步的阶段- 即使成功- 协议也要等到养老保护基金对托马斯·库克方案进行评估后才能达成。,The discussions are at a very preliminary stage and - even if successful - will not result in a deal until after the Thomas Cook schemes have been through an assessment by the PPF.
委员会负责人珍妮·马拉表示：“苏格兰养狗法与目的不切合。针对儿童的狗袭击事件仍然有很多，但是可能阻止这些袭击的现行法律却几乎从未被执行或被人了解。,"Convener Jenny Marra said: ""Dog law in Scotland is not fit for purpose. There are still far too many dog attacks on children and little enforcement or understanding of the current laws that might prevent these attacks."
“我向你们发誓，我们会回来的，我们不会让你们购买的票落空。我爱你们，很抱歉让你们失望。”,"""I swear to you we will come back and we will honour your tickets. I love you so much and I'm sorry to let you down."""
天文学家在观察 凌日系外行星探测卫星之前，使用了一个全球网络望远镜来探测这一现象，为寻找遥远的行星而设计的凌日系外行星探测卫星的连续观察区捕捉到了此次暴力事件的开始阶段。,"Astronomers used a worldwide network of telescopes to detect the phenomenon before looking at TESS, whose permanent viewing zones designed to find distant planets, caught the beginning of the violent event."
一名北卡罗莱纳男子在同一次彩票抽奖中抽中五次，包括 163634 美元的头奖。,"A North Carolina man won five times in the same lottery drawing, including a $163,634 jackpot."
2016 年，在卡尔加里一次家庭聚会上杀死 5 人的马修·德·格罗德被判决对自己的行为不负刑事责任。,"In 2016, Matthew de Grood, the man who killed five people at a house party in Calgary, was found to be not criminally responsible for his actions."
他被指控勾结美军前情报分析师切尔西·曼宁。,He is accused of working with former US army intelligence analyst Chelsea Manning.
英雄时刻：警官冲上繁忙高速，救下被撞小狗,Moment hero police officer rushes onto busy motorway to save dog hit by car
哈斯凯尔去斯塔家时伪装成联邦快递快递司机，而明显是去找他的前妻，即凯蒂·斯塔的姐姐。,"Haskell was disguised as a FedEx delivery driver when he went to the Stay home, apparently looking for his ex-wife, who is Katie Stay's sister."
美国全军自杀人数从 2017 年的 511 人增加至 2018 年的 541 人。据五角大楼称，危险系数最高的人群是年轻入伍者，至少有 60％ 的情况下，他们选择枪支作为自杀方式。陆军自杀人数从 114 增至 139，海军陆战队自杀人数从 43 增至 58，海军自杀人数从 65 增至 68。而空军从 63 下降至 60。,"The number of suicides across the military increased from 511 in 2017 to 541 in 2018. According to the Pentagon, the most at-risk population is young enlisted men, and at least 60 percent of the time they chose a gun as their suicide method. Army suicides went from 114 to 139, while the Marines went from 43 to 58 and the Navy went from 65 to 68. The Air Force dipped from 63 to 60."
虽然女孩一再央求男子住手，但男子依然用手锁住了她的脖子，硬将她拖进灌木丛。,"When she pleaded ""stop, stop, stop,"" he put her in a headlock and forced her into the scrub."
星期四，萨克拉门托警方还发表声明说，其内部调查未发现两位警察有任何违反警局规定或训练要求的行为。,Sacramento police also announced Thursday their internal investigation did not find any policy or training violations.
穆罕默德王子正试图通过一项全面的自由化运动来改变这种状况，已为沙特阿拉伯带来了新的电影院、男女混合的音乐会和体育盛宴。,"Prince Mohammed is seeking to change that through a sweeping liberalisation drive that has brought new cinemas, mixed-gender concerts and sporting extravaganzas to Saudi Arabia."
设立新的奖项计划是为了表彰那些礼貌得体的政治人士,A new awards scheme has been set up to recognise politicians who show courtesy in their work.
柬埔寨一家法院指控七名高级反对党领导人策划武装叛乱，他们计划结束自我流放，通过大规模和平抗议寻求政权更迭。,A Cambodian court has charged seven top opposition politicians with plotting armed rebellion for planning to return from self-imposed exile to seek a change in government through mass peaceful protests.
“这不仅仅指伊朗的生产和出口，还有浮式储油设施中的数百万桶石油以及停留在中国港口等待海关处理的数百万桶石油，”基尔达夫说道。,"""It's not just Iranian production and exports. Its' millions of barrels in floating storage and millions of barrels sitting in China's ports waiting to be processed by customs,"" Kilduff said."
英国政府监管机构表示，如果“无协议脱欧”，政府仍需要完成“大量”工作来保证本国有充足的医药供应。,"Britain's government watchdog says there is still a ""significant amount"" of work to do to ensure the country has an adequate supply of medical drugs in case of a no-deal Brexit."
美国能源信息署在 2018 年 12 月发布的一份报告中表示，预计到今年年底，美国的液化天然气出口能力会翻一番，达到每日 89 亿立方英尺。这也会让美国成为继卡塔尔和澳大利亚之后的世界第三大液化天然气出口国。预计到 2030 年，美国液化天然气出口量将从 2019 年初的 30 亿立方英尺增涨到每日 170 亿立方英尺。,"In a December 2018 report the Energy Information Administration said it expected the United States"" LNG export capacity to double by the end of this year to 8.9 billion cu ft daily. This will make the US the third-largest exporter of LNG in terms of capacity after Qatar and Australia. By 2030, US LNG exports are estimated to reach 17 billion cu ft daily, from some 3 billion cu ft at the start of 2019."
2018 年，在举牌要求习近平下台之后，他通过互联网发出消息，称有警察冲进他家，勒令他写下悔过书和停止此类活动的保证书。,"In 2018 after he held up the placard calling for Xi's resignation, he wrote online of how police stormed into his home, ordering him to write a confession letter and a statement promising he would stop."
但是，卫生官员警告称，在检测之前 15 分钟内严禁饮食。,"However, health officials warn one should not eat or drink within 15 minutes before starting the test."
黑洞强大的引力将恒星撕裂，恒星的一些物质被抛入太空，其余物质被吸入黑洞，在吞噬过程中形成一团炽热明亮的气体。,"The black hole's impressive gravitational forces tear the star apart, with some of its material thrown into space and the rest into the black hole, forming a disc of hot, bright gas as it is swallowed."
与此同时，英国议会商业委员会已对托马斯库克展开破产调查，力图质询管理层关于高管薪酬和会计政策方面的问题。,"Meanwhile, the British parliament's business committee has launched an inquiry into the collapse of Thomas Cook and will seek to question the management over issues such as executive pay and accounting practices."
哥伦比亚艺术家奥斯卡·穆里略的作品《激增（社会性白内障）》描绘了人们凝视北海的情景，但他们眺望北海和对岸欧洲大陆的视野被一块黑色帆布遮住了，透过画布上的一条斜线，只露出了远处的一小部分。,"Colombian artist Oscar Murillo's work ""surge (social cataracts) "" depicts people staring out to the North Sea, but with their view of the water and the European continent on the other side of it obscured by a dark canvas, with only a sliver of what lies beyond revealed through a slash in the canvas."
"州立大学工作人员怨声载道，最主要的是集中在工资低、工作中缺乏尊严这两方面。单看薪酬差距就令人瞠目结舌。这些工作人员中大约有一半的年收入低于 40,000 美元（数百人的年收入低于 25,000 美元）。而与此同时，大学校长的平均年薪为 50 万美元，四名大学体育教练的年薪稍微低一点，共为 100 万美元。虽然学校管理人员的薪水为六位数，但总体行政支出仍在高涨，六分之一的机密工作人员有资格获得食品券。","The state university workers"" most pressing complaints center on low wages and a lack of dignity at work. The pay disparities alone are shocking. About half of these workers earn less than $40,000 per year (and hundreds make less than $25,000). Meanwhile, university presidents"" annual salaries average out to $500,000 and four university athletics coaches are pulling down a cool $1 million. While school administrators enjoy six-figure salaries and overall administrative spending continues to bloat, one in six classified staffers qualify for food stamps."
话说回来，1992 年这些媒体也是这么评价铃木瑟玟的。早在通贝里冷面控诉各国官员“我们可能都没有未来了”之前，网民就分裂成了完全对立的两派 - 铃木瑟玟的反对派和支持派；当时，在里约热内卢召开的联合国地球峰会上，时年 12 岁的铃木瑟玟进行了类似的疾呼，人们称她为“让世界沉默了五分钟的女孩”。,"Then again, they said the same about Severn Cullis-Suzuki in 1992. Long before Thunberg deadpanned to parliamentarians that ""we probably don't even have a future any more,"" and netizens tore each other to shreds attacking and defending her, 12-year-old Cullis-Suzuki became known as the ""The girl who silenced the world for five minutes"" when she delivered a similar sermon before the UN Earth Summit in Rio de Janeiro."
2018 年 4 月，美国、英国和法国对叙利亚发动空袭，以报复他们所说的在当月早些时候造成 40 多人死亡的疑似化学袭击。,"In April 2018, the U.S., Britain and France launched airstrikes in Syria in retaliation for what they described as a suspected chemical attack that killed more than 40 people earlier that month."
据称雅克希拉克长期以来健康不佳。,Jacques Chirac was known to have been suffering from ill health for a long time.
她补充道，仍有 14% 的感染者并不知道自己感染了艾滋病毒，还要做更多工作照顾到这部分人群。,"She added that there is still effort to reach the 14 per cent of the people, who are living with HIV but do not know their HIV status."
有人发现特里斯坦在科勒的照片墙主页上留下了另一段热情的赞美之词,Tristan was spotted leaving another gushing compliment on Khloe's Instagram page
“你们知道有多少男人做的事比这要恶劣得多吗？” 威廉姆斯告诉那些比赛期间在她与裁判发生对峙后进入球场的美国公开赛官员们。,"""Do you know how many other men do things that are much worse than that?"" Williams told U.S. Open officials who entered the court during the match after her confrontation with the umpire."
天马图书出版社于星期四宣布，《 南希·佩洛西之路》将于 11 月 26 日发行。克莉丝汀·佩洛西的作品将讲述一位五个孩子的母亲如何成为首位女性众议院院长，以及她目前在特朗普政府下对众议院民主党人的领导力。据天马出版社表示，克莉丝汀·佩洛西的新书会把她母亲的“职业和个人经历”交织呈现。,"""The Nancy Pelosi Way"" will be released Nov. 26, Skyhorse Publishing announced Thursday. Christine Pelosi's book will examine how a mother of five became the first female house speaker and her current leadership of House Democrats during the Trump administration. According to Skyhorse, Christine Pelosi will weave together ""the professional and personal experiences"" of her mother."
迈耶斯表示：“这是总统先生一贯的调调。令我惊讶的是，他的总统办公室办公桌上没有被未归还的百视达 DVD 所淹没。”,"""That's so him,"" said Meyers. ""I'm surprised his Oval Office desk isn't covered in unreturned Blockbuster DVDs."""
参与室内竞赛的田径选手表示，高温对他们参赛表现的影响应该不会太大，但他们也承认训练尤其让人感到筋疲力竭。,"Track athletes competing inside the stadium said it was unlikely that the heat would significantly affect their performances, but conceded that practices have been especially draining."
由好莱坞重量级经纪人阿里·伊曼纽尔支持的娱乐及人才经纪公司 Endeavor Group Holdings (EDR.N) 因市场形势严峻，在最后一刻决定放弃首次公开募股，该公司过去曾有过亏损记录。2019 年早些时候，约车公司优步科技 (UBER.N) 和 Lyft Inc (LYFT.O) 还没有明确的盈利时间表，吸取了这两家公司的教训，投资者已经开始推迟投资那些有严重亏损历史的公司。“这将是银行家、董事会和高级管理团队之间的对话，他们会说，‘这些是孤立的，不可比较的'，或者说，‘我们的情绪发生了转变，我们需要更加保守，并使用不同的战略'”，普华永道会计师事务所美国首次公开募股服务主管的大卫·埃思里奇说道。市场更容易接纳一些不太知名的公司，比如网络安全公司 Ping Identity (PING.N) 和云监测公司 Datadog Inc (DDOG.O)。这两家公司的亏损都较为温和，而且主要是向公司而非消费者销售产品。,"Endeavor Group Holdings (EDR.N), an entertainment and talent agency company backed by Hollywood power broker Ari Emanuel with a track record of losses, made a last-minute decision to abandon its IPO due to the tough market conditions. Taking a lesson from the struggles earlier in 2019 of ride-hailing companies Uber Technologies (UBER.N) and Lyft Inc (LYFT.O), which have no stated timetable for becoming profitable, investors have started to push back on companies with a history of steep losses. ""It will be a dialogue among bankers and boards and senior management teams where they say, ""these were isolated and not comparable,"" or say ""we have a sentiment shift and we need to be more conservative and use a different strategy,"""" said David Ethridge, U.S. IPO services leader at audit firm PwC. The market was more receptive to lesser-known names such as cyber security company Ping Identity PING.N and cloud monitoring company Datadog Inc DDOG.O. Both companies have reported more modest losses and rely on selling to companies rather than to consumers."
沃尔特因 2005 年的一起毒品案件被监管释放，目前被拘留之中。,"Walter, who is on supervised release over a 2005 drug case, remains in custody."
但普格里亚却坚持说他只是在做自己的本职工作。,But Mr Puglia insists he was just doing his job.
特朗普政府一名高级官员星期五承认，白宫律师指示将特朗普总统 7 月与乌克兰总统泽伦斯基的电话记录转移到一个高度安全的系统。,A senior Trump administration official acknowledged Friday that White House lawyers directed moving the transcript of President Trump's July phone call with Ukrainian President Volodymyr Zelensky to a highly secure system.
如果他出任首相，他已经为重新举行 2014 年公投打开了大门。,"""He has already left the door open for a re-run of the 2014 referendum if he becomes prime minister."
今年 5 月，瑞典检方重启对阿桑奇强奸指控的调查-阿桑奇对这一指控一直否认。,"In May, Swedish prosecutors reopened their investigation into an allegation of rape against Assange - an allegation he has always denied."
但对于其他常用增强握力的粘性喷雾的撑杆跳高运动员来说，在这种潮湿的状况下，他们就更难抓牢撑杆了，他说。,"But other pole vaulters who spray a sticky grip enhancer on their hands might have more difficulty holding onto their poles in the humidity, he said."
英国历史最悠久的旅行公司歇业四天后，就传出了受托人努力确保会员福利的消息，这引发了一项国际遣返计划，并导致数千人失业。,"News of the trustees' efforts to secure members' benefits comes four days after Britain's oldest tour operator ceased trading, sparking an international repatriation programme and triggering thousands of job losses."
虽然科勒对特里斯坦在他们的恋爱过程中不断的出轨感到心碎，但是今年早些时候他还是邀请特里斯坦参加了他们的女儿特鲁的第一个生日派对。,"Khloe has been left heartbroken by Tristan's repeated cheating throughout their romance, but still invited him to their daughter True's first birthday party earlier this year."
安德鲁和我都是最幸运的人，因为我们有两个很棒的女婿。”,"""Andrew and I are just the luckiest people ever to have two great sons in law."""
她和自杀预防办公室主任卡伦·奥维斯表示，很难确定那些可能正处于痛苦之中或有自杀想法的服役人员，有时自杀是突然冲动的决定，事先几乎没有任何警告。他们表示，很难找到自杀的原因，因为造成自杀的压力因素太多。,"She and Karen Orvis, director of the suicide prevention office, said recognizing service members who may be struggling or at risk of taking their own lives is very difficult, and that sometimes suicide is a sudden, impulsive decision with little warning. They said it's difficult to identify reasons for suicide because there are so many stresses that could contribute."
德国报道发生西尼罗河病毒标志性病例,Germany reports landmark case of West Nile virus
这次审查重点关注所能采取的措施，以帮助地方当局等援助执行机构利用自己手中的权力来维护社区安全。,"""This review is focused on steps that can be taken to help aid enforcement agencies such as local authorities, as they use their powers to help keep communities safe."""
信中说：“我们为包括佩洛西议长在内的国会议员们喝彩，是他们引导我们走上了这条必要的道路。”“特朗普总统似乎利用了这个国家最高职位的权力和资源，邀请更多的外国势力干涉我们的民主进程。这将构成不合理的权力滥用。,"""We applaud those members of Congress, including Speaker Pelosi, who have started us down that necessary path,"" the letter states. ""President Trump appears to have leveraged the authority and resources of the highest office in the land to invite additional foreign interference into our democratic process. That would constitute an unconscionable abuse of power."
安东尼奥·布朗宣称还未做好退役准备,Antonio Brown says he's not quite ready for retirement
在特朗普承认停止向乌克兰提供军事援助后，佩洛西本周宣布了一项正式的弹劾调查。援助最终获得批准，但众议院民主党人想知道援助是否与特朗普要求泽连斯基调查曾为乌克兰天然气公司工作了五年的亨特·拜登的这件事有任何关联。,"Pelosi announced an official impeachment investigation this week after Trump acknowledged he'd withheld military aid to Ukraine. The aid was ultimately granted, but House Democrats want to know whether there was any connection to the aid and Trump's asking Zelensky to investigate Hunter Biden, who worked for a Ukrainian gas company for five years."
“让世界沉默”的 12 岁女孩,"The 12-year-old who ""silenced the world"""
海军陆战队司令戴维·伯杰将军说道：“除了身体健康、枪法训练、训练和教育，海军陆战队还必须自由讨论生活中的困难、心理健康和自杀问题。我们必须建立一个社区，让寻求帮助和协助成为海军陆战队和水兵做出的重要决定。”,"""Just as we talk about physical fitness, marksmanship, training and education, Marines must also be comfortable discussing life's struggles, mental wellness and suicide,"" said Gen. David Berger, commandant of the Marine Corps. ""We must create a community where seeking help and assistance are simply normal, important decisions Marines and sailors make."""
该基地已成为北约在黑海增加活动的中心，而黑海已成为俄罗斯与西方之间紧张局势的关键地区。在 2014 年莫斯科从乌克兰吞并克里米亚之后，克里姆林宫开始利用在塞瓦斯托波尔的深海基地在叙利亚执行海军任务，来增加在黑海的海军势力。俄罗斯还阻碍了该地区的运输，去年在刻赤海峡捕获了三艘乌克兰船只。,"The base has already become a center of increased NATO activity in the Black Sea, which has become a key area of tension between Russia and the West. After Moscow annexed Crimea from Ukraine in 2014, the Kremlin began to increase its naval presence in the Black Sea, using the deep-sea base in Sevastopol to carry out naval missions in Syria. Russia is also hampering shipping in the region and last year captured three Ukrainian ships in the Kerch Strait."
可能会引起口腔溃疡——摄入过多肉桂不仅会引发致命的状况，还会引起口腔溃疡。据推测，这是因为肉桂中含有肉桂醛，而肉桂醛是一种大量摄入后会导致人体过敏反应的化合物。但是，只有对肉桂醛过敏的人才可能患口腔溃疡。,"May cause mouth sores - Not only does too much cinnamon help contribute to deadly conditions but they may also cause mouth sores. This is supposedly because cinnamon contains cinnamaldehyde, which is a compound that when ingested in large amounts, can cause an allergic reaction in our bodies. However, one can only get mouth sores from cinnamaldehyde when they're allergic from it."
“那些反对维迪亚萨加社会改革的人士破坏了其半身像，这种半身像矗立在以其名字命名的学院中，”部长说。,"""Those who are against the social reforms of Vidyasagar had vandalised his bust at the institution associated with his name,"" the minister said."
他们说道，“总统今天的言论构成了对证人的恐吓，应该受到严厉谴责，这种行为妨碍了国会弹劾调查。我们谴责总统的攻击行为，并呼吁我们的共和党同僚也提出谴责，因为国会必须尽一切努力保护这位告密者和所有告密者。”“我们国家领导人的暴力威胁对整个举报程序产生了可怕的影响，也给我们的民主和国家安全带来了严重后果。”,"""The President's comments today constitute reprehensible witness intimidation and an attempt to obstruct Congress' impeachment inquiry. We condemn the President's attacks, and we invite our Republican counterparts to do the same because Congress must do all it can to protect this whistleblower, and all whistleblowers,"" they said. ""Threats of violence from the leader of our country have a chilling effect on the entire whistleblower process, with grave consequences for our democracy and national security."""
“显然，这对我们来说是一项巨额支出。” 斯坦说道。“我们将亲自直接接触每个家庭，以确保他们的所有问题得到解答。”,"""Obviously, this is a huge deal for us."" Stein said. ""We're reaching out directly to every single family in person to make sure that all their questions are answered."""
“这是掩盖？好好想一想，塞库洛星期五在《福克斯与朋友》节目中说。“白宫不该保护与乌克兰总统的通话吗？这是秘密且不该掩盖吗，这是文件。简直胡说八道。”,"""A cover-up? Think about that for a moment,"" Sekulow said on ""Fox & Friends"" Friday. ""The White House secured a call with the president of Ukraine? It's so secret and such a cover-up, here's the documents. This is nonsense."""
“我保证，这个剧本非常棒，”戴维斯说，“听好了，我不想让我的人民疯狂。”,"""It's going to be a great script, I promise,"" Davis said. ""Listen, I don't want to make my people mad."""
身为母亲让我明白，在大多数时候，我的职责是给孩子提供探索和发展空间，让她们成为自己想要成为的人。不是我想要她们成为什么样子或是我在相应年龄时希望自己成为的样子，而是她们做内心深处真实的自己。,"""Motherhood has taught me that, most of the time, my job is to give them the space to explore and develop into the people they want to be. Not who I want them to be or who I wish I was at that age, but who they are, deep inside."""
谈判于星期日晚间结束，但没有达成任何协议，托马斯·库克公司被迫寻求逾 1 0 亿英镑的新融资，这也是它最后疯狂一搏。此前，该公司半年亏损了 15 亿英镑，且交易状况不断恶化。,"The talks, which concluded without a deal on Sunday evening, represented a frantic last throw of the dice for a company which had been forced to seek more than £1bn in new funding following a £1.5bn half-year loss and deteriorating trading."
“虽然我们已经对这些产品实行了最严格的管理制度，但如果有证据表明需要采取进一步行动......我们将毫不犹豫地采取行动。”,"""While we already have among the strictest regimes on those products, if the evidence shows that further action is needed... we will not hesitate to take it."""
雀巢增加检查频率的决定对全球咖啡供应链的影响不大，发言人说。“这并非一个新流程，我们只是加强控制，”发言人告诉有线电视新闻网商业频道。咖啡是在从原产国运来之前进行测试。,"Nestle's (NSRGF) decision to increase the frequency of checks was unlikely to disrupt global coffee supply chains, a spokesperson said. ""This is not a new process, we are just reinforcing controls,"" the spokesperson told CNN Business. Tests were done before the coffee was shipped from the countries of origin."
当恒星冒险离一个超大质量黑洞太近时，就会被吸进去，这个黑洞位于大多数星系的中心，比如地球的银河系。,"Stars get sucked in when they venture too close to a supermassive black hole, which lives at the centre of most galaxies, including the Earth's Milky Way."
抗议者们横穿市中心，一边摇旗呐喊，一边举着通贝里的照片，手上的标语上写着：“为了格蕾塔般的美好”，“别像个愚蠢的老古董一样”，以及“你们因年老而死，我们因气候变化而亡。”,"Banging drums and holding pictures of Thunberg, protesters walked through the city center with placards reading: ""For the Greta good,"" ""Don't be a fossil fool,"" and ""You will die of old age, we will die of climate change."""
迄今为止，这位国宝级人物的职业生涯已有 60 年的历史，为数百万人带来了欢声笑语。,"The national treasure has entertained millions over his career, which has so far spanned 60 years."
其中一名患者称其“苦不堪言”。 13 岁的肖恩·安德森·科罗纳被诊断出患有 4 期神经母细胞瘤（一种经常在肾上腺中发现的癌症）后，就进行了干细胞治疗。这个男孩整天机器不脱身，机器会从他的血液中采集干细胞。然后，机器会将血液重新注入体内。,"One of the patients described it as ""painful."" Sean Anderson Corona, 13, underwent stem cell therapy when he was diagnosed with Stage 4 Neuroblastoma - a cancer often found in the adrenal glands. The boy was hooked up to machines for a daylong process that collects the stem cells from the blood. The blood is then reinfused back into the body."
电台声称路易斯安纳州WWL 电台节目主持人赛斯·丹拉普威胁起诉反同性恋推文，但推文实则由他本人发出，与朱西·斯莫利特案如出一辙,"Seth Dunlap Louisiana: WWL Radio host threatening to sue over anti-gay tweet sent the tweet himself, station claims, similar to Jussie Smollett case"
Orasure 科技公司生产的 OraQuick 艾滋病毒口腔自检试剂盒，专门针对 18 至 24 岁的年轻人、成年男性和性工作者等易感人群设计。,"The oral HIV test kit dubbed, OraQuick HIV self-test, a product of Orasure technologies, targets young people aged 18 to 24 years, men and priority populations such as sex workers."
受害人的父亲盖伊·阿尔福德说道：“我希望我能和你对换，儿子，我希望我能和你对换啊。”,"""I wish I could trade places with you son, I wish I could trade places with you,"" Guy Alford, the victim's father, said."
“如无协议脱欧，英国（卫生）部门会在高度不确定的情形下工作，全面执行预定方案的难度巨大，”政府监管机构写道。,"""In the event of a no-deal exit, the department (of health) would be working in a highly uncertain environment and operating all the elements of its plan would be a hugely demanding task,"" the watchdog wrote."
她指出，到目前为止，他们还没有看到欧洲有任何因雾化产品引起的死亡病例报告。,She pointed out that to date they have not seen any cases of deaths attributed to vaping being reported in Europe.
加里·理查森告诉 WOFL 电视台，他家住在佛罗里达州萨姆特县，星期一他的几个儿子在屋子外清洗“宙斯”的水盘时，一只有毒的珊瑚蛇向他们爬来。理查森说，孩子们当时没看到蛇，但狗看到了，并对蛇发起了攻击。,"Gary Richardson told WOFL-TV the boys were outside the family's home in Sumter County, Florida, on Monday, cleaning Zeus' water dish when the venomous coral snake slithered toward them. Richardson says the children didn't see the snake but the dog did and attacked it."
巴基斯坦社交媒体明星卡恩代尔·巴洛赫的兄弟上星期五被判谋杀罪名成立，并被判处终身监禁，这是该国最备受瞩目的“名誉杀人案”。,"The brother of Pakistani social media star Qandeel Baloch was on Friday convicted of her murder and sentenced to life in prison in the patriarchal country's highest-profile ""honour killing."""
院方已更换冷冻机，传感器监控和警报系统也已升级。,"The freezer has since been replaced, and the sensor-monitoring and alert system have been upgraded."
该区是澳大利亚第一个承认动物感知能力的管辖区。,The territory is the first jurisdiction in Australia to recognize animal sentience.
欧洲国家都非常渴望与伊朗谈判，竟然都暗示道，如果德黑兰愿意进行对话，美国会终结对伊朗的制裁，总统哈桑·鲁哈尼表示。,"European nations were so eager to negotiate with Iran that they suggested the US would end its sanctions regime if Tehran was willing to engage in dialogue, President Hassan Rouhani has said."
《太阳报》透露，本月早些时候，特里斯坦在德雷克的建议下，花了 40 万英镑为科勒买了一辆保时捷，想与科勒复合。,"Earlier this month, The Sun revealed that Tristan bought Khloe a £400,000 Porsche in a bid to win her back - on the advice of Drake."
据美联社和美国有线电视新闻网报道，温网主办方全英俱乐部向威廉姆斯开具了罚单，原因据说是威廉姆斯在 6 月 30 日的室外练习赛中造成了损坏。,"The All England Club, which hosts the Wimbledon tournament, handed the fine to Williams after she reportedly caused damage during a practice round on the outside courts on June 30, according to The Associated Press and CNN."
佛罗里达州一名男子称，他家中 8 个月大的比特斗牛犬“宙斯”为了保护他的几个儿子，被蛇咬死。,A man in Florida says his family's 8-month-old pit bull Zeus died of snake bites as it was trying to protect his sons.
“这些结果是我读过的最令人痛苦和震惊的一部分。”,"""The findings are some of the most distressing and shocking I have ever read."""
男子对绑架整形外科医生并对其实施折磨虐待的细节供认不讳,"Man pleads guilty in kidnap, torture plot of plastic surgeon"
他说：“这个问题会得到解决，我可以向你保证。”,"""I can assure you, this one is going to get solved,"" he said."
不出所料，投资增长的驱动因素是亚洲不断增涨的能源需求；预计中国会超越日本，成为全球最大的液化天然气进口国。,"Unsurprisingly, the driver of this growth in investments is growing demand for the fuel in Asia, with China still expected to overtake Japan as the world's top importer of LNG."
助理总干事兼联合国粮食及农业组织驻加纳代表阿贝贝·海尔-加布里埃尔先生在会议上致辞时指出，如果大力加强疫苗接种，使流浪动物远离人类（特别是儿童），则可最大程度减少狂犬病问题。,"Addressing the conference, the Assistant Director General and FAO Representative to Ghana, Mr Abebe Haile-Gabriel indicated that the issue of rabies could be minimised if efforts were geared towards vaccination and keeping stray animals away from humans especially children."
这位明星人物与威廉王子和凯特王妃一同出席了在默西塞德郡伯肯黑德坎梅尔莱尔德船厂举行的命名仪式。,"The star joined both Prince William and Kate for the naming ceremony in Cammell Laird shipyard in Birkenhead, Merseyside."
米歇尔·奥巴马补充道：“无论是与我们的奥巴马基金会 @ObamaFoundation 领导人会面，还是帮助世界各地女孩寻求应受教育，她鼓舞了很多人。”,"""Whether meeting with our @ObamaFoundation Leaders or helping girls around the world seek the education they deserve, she is an inspiration to so many,"" Obama added, alongside a photo of a smiling Meghan posing with foundation leaders."
2016年，三门倒乐队的吉他手马修·罗伯茨也死于服药过量，他的体内含有芬太尼和氢可酮。,"Matthew Roberts, guitarist for the band 3 Doors Down, also died of an overdose in 2016, and had fentanyl and hydrocodone in his system."
尽管高温对在哈里发国际体育场内比赛的选手影响会小一些，因为室内设有空调，温度维持在 21 度左右，但因为训练场地都位于户外，相关选手仍然要调整训练安排。,"Although the heat is less of a threat to the athletes competing inside the Khalifa International Stadium, where temperatures are kept at around 21 degrees with the help of a cooling system, they have still had to adjust their training because they practise at an outdoor facility."
谢天谢地，这只小狗幸免于难，只受了轻微的刮擦伤。,"Thankfully, the dog survived with just minor cuts and bruises."
"尽管三名学生都入围了全球总决选，还是在最终的激烈角逐中败下阵来，总决赛中有来自世界各地的 3,500 名学生。","Although all three made it through to the global final, they lost out in the final round to strong competition from some of the 3,500 entrants from across the world."
星期四，五角大楼发布的数据显示，陆军、海军和海军陆战队的自杀率及自杀总人数都呈上升趋势，而只有空军的自杀率呈下降趋势。预备役和国民警卫队成员的自杀人数也呈上升趋势。,"The Army, Navy and Marine Corps all saw the rate of suicides go up as well as the overall numbers, with only the Air Force showing a decrease, according to data released by the Pentagon Thursday. Suicides among members of the Reserves and the National Guard also grew."
普林斯于 2016 年去世，当时他服用了含有芬太尼的假冒药，这种假药看起来像是止痛药维柯丁的仿制品。,Prince died in 2016 when he took counterfeit pills laced with fentanyl that looked like a generic version of the painkiller Vicodin.
T·肖恩·泰勒是这本书的合著者，她是一名记者、作家兼全方位服务媒体咨询公司 —— Tree Top 咨询公司的创始人。,"The book was co-written with T. Shawn Taylor, journalist, writer and founder of Tree Top Consulting, a full-service media consulting firm."
衡量收入差距的一种方法就是基尼系数。基尼系数最小为 0，代表绝对平均，最大为 1，代表一种某个家庭拥有全国所有收入的假设情形。过去 50 多年来，人口普查局一直在追踪这项指标。1967 年美国的基尼系数为 0.397，但 2018 年已经攀升至最高的 0.485。,"One way to measure income inequality is the Gini index. It measures between 0, a score for absolute equality and 1, which stands for a hypothetical situation in which a single household gets all income in a nation. The Census Bureau has been tracking the index for over 50 years. In 1967 it stood at 0.397 but, in 2018, it rose to 0.485, the highest figure on the record."
米歇尔·奥巴马在接受采访时说道：“为人母一直是一堂学会放手的大师课。,"""Being a mother has been a masterclass in letting go,"" Obama said in the interview."
